"","Operator","Type","NumberOfCrashes"
"1","","",6
"2","","Beech 200",1
"3","","Britten-Norman BN-2A Islander",1
"4","","Cessna 206 Seneca",1
"5","","Consolidated Liberator B24 C",1
"6","","de Havilland DH-9",1
"7","","Douglas C-47",1
"8","","Ford Tri-motor",1
"9","","Grumman G-21A",1
"10","","Junkers G24",1
"11","","Junkers JU-53/3m",1
"12","","Rockwell 500S Shrike Commander",1
"13","","Sikorsky S-25",1
"14","A B Aerotransport","Fokker F-XXII",1
"15","A B Aerotransport","Junkers G-23",1
"16","Aéreo Ruta Maya","Cessna 208B Grand Caravan",1
"17","Aérotaxi Cachanilla","Cessna 500 Citation",1
"18","Aaxico Airlines","Curtiss C-46A",2
"19","Aaxico Airlines","Douglas DC-6A",1
"20","AB Aerotransport","Douglas DC-3",1
"21","AB Aerotransport","Douglas DC-3F",1
"22","AB Aerotransport","Douglas DC-4-1009",1
"23","Ababeel Aviaition","Ilysushin Il-76TD",1
"24","Abakan Airlines","Let 410UVP",1
"25","Aca-Ancargo","Antonov AN-26",1
"26","Ace Flying Service","Piper PA-30",1
"27","ACES Colombia","de Havilland Canada DHC-6 Twin Otter 300",3
"28","Acme Air","Cessna 501 Citation I",1
"29","Action Air Express Inc. - Air Taxi","Cessna P210N",1
"30","Action Airlines","Piper PA-31-350 Navajo",1
"31","Adam Air","Boeing B-737-4Q8",1
"32","ADC Airlines","BAC One-Eleven 203AE",1
"33","ADC Airlines","Boeing 737-2B7",1
"34","Aden Airways","Douglas DC-3",2
"35","ADES Colombia","Curtiss C-46F",1
"36","ADES Colombia","Douglas C-47B",1
"37","Advance Airlines","Beechcraft Super King Air 200",1
"38","Adventure Airlines","Cessna 402C",1
"39","Adventure Airlines","Cessna 421C Golden Eagle",1
"40","AECA Cargo","McDonnell Douglas DC-8F-55",1
"41","Aegler Stuart Flying Service  / Private","Piper PA-30 / Cessna 337A",1
"42","Aer Lingus","Douglas DC-3",1
"43","Aer Lingus","Vickers 803 Viscount",1
"44","Aer Lingus","Vickers Viscount 803",1
"45","Aer Turas","Bristol 170 Freighter 31E",1
"46","Aeralpi","de Havilland Canada DHC-6 Twin Otter 100",1
"47","Aerevias Centrales Air Service","Lockheed Orion",1
"48","Aerial Transit Company","Douglas DC-6BF",1
"49","Aero-Tropics","Swearingen SA-227AC Metro III",1
"50","Aero Air","Antonov An-2R",1
"51","Aero Asahi","Bell 412",1
"52","Aero Cargo","Junkers Ju-52/3m",1
"53","Aero Club Libya","de Havilland Canada DHC-6 Twin Otter 300",1
"54","Aero Clube de Volta Redonda","Piper Cherokee Arrow  PA-28",1
"55","Aero Condor","Britten Norman BN-2A Trislander",1
"56","Aero Cozumel","Britten Norman BN-2A Trislander II",1
"57","Aero Ejecutivos","Douglas C-118A",1
"58","Aero Eslava","Vickers 798D Viscount",1
"59","Aero Ferinco Charter","LET 410UVP",1
"60","Aero France","Learjet 55",1
"61","Aero Holland","Douglas C-47A",1
"62","Aero Jet Express","Hawker Siddeley HS-125",1
"63","Aero Lloyd","Domier Delphin III",1
"64","Aero Mayflower Transit Co","Waco, model YLC",1
"65","Aero National - Air Taxi","Piper PA-34",1
"66","Aero O-Y","Junkers F-13",3
"67","Aero O-Y","Junkers JU-52/3mge",1
"68","Aero PaLease - Air Taxi","Piper PA-34",1
"69","Aero Pantanal - Air Taxi","Cessna U206G",1
"70","Aero Peru","Fokker F-28 Fellowship 1000",1
"71","Aero Sudpacifico","Britten-Norman BN-2B-27 Islander",1
"72","Aero Taxis Equatorianos","Douglas C-47",1
"73","Aero Transportes","Douglas DC-3",1
"74","Aero Transporti Italiani","Aerospatiale Alenia ATR-42-312",1
"75","Aero Transporti Italiani","Fokker F-27 Friendship 200",2
"76","Aero Transporti Italiani","Fokker F-27 Friendship 600",1
"77","Aero Transporti Italiani","McDonnell Douglas DC-9-32",1
"78","Aero Tropical","Antonov 12BP",1
"79","Aerocalifornia","Douglas DC-3A-178",1
"80","Aerocaribbean - Charter","Ilyushin IL-18D",1
"81","Aerocaribe","British Aerospace  BAe Jetstream 32EP",1
"82","Aerocaribe","Convair CV-240",1
"83","Aerochasqui","CASA 212 Aviocar 200",1
"84","Aerocom","Antonov 24B",1
"85","Aerocondor","Canadair CL-44",1
"86","Aerocondor de Colombia","Lockheed L-1649A Starliner",1
"87","Aerocontroctors - Charter","de Havilland Canada DHC-6 Twin Otter 300",1
"88","Aerocord","Beechcraft 99A",1
"89","Aerocosta Colombia","Curtiss C-46D",1
"90","Aeroejecutivos Colombia","de Havilland Canada DHC-6 Twin Otter 310",1
"91","Aeroespresso","CMASA Wal",1
"92","Aeroextra","Hawker 800A",1
"93","Aeroflite Services","Learjet 23",1
"94","Aeroflot","",3
"95","Aeroflot","Antonov 12BP",2
"96","Aeroflot","Antonov 26B",1
"97","Aeroflot","Antonov An-10",1
"98","Aeroflot","Antonov AN-10",4
"99","Aeroflot","Antonov An-10A",2
"100","Aeroflot","Antonov AN-10A",3
"101","Aeroflot","Antonov AN-12",3
"102","Aeroflot","Antonov An-124",1
"103","Aeroflot","Antonov An-12B",1
"104","Aeroflot","Antonov AN-12BP",1
"105","Aeroflot","Antonov An-12PL",1
"106","Aeroflot","Antonov An-12TB",1
"107","Aeroflot","Antonov AN-12V",2
"108","Aeroflot","Antonov AN-2",1
"109","Aeroflot","Antonov AN-22",1
"110","Aeroflot","Antonov AN-24",13
"111","Aeroflot","Antonov An-24B",2
"112","Aeroflot","Antonov AN-24B",2
"113","Aeroflot","Antonov AN-24N",1
"114","Aeroflot","Antonov An-24RV",1
"115","Aeroflot","Antonov AN-24RV",1
"116","Aeroflot","Antonov AN-24V",3
"117","Aeroflot","Antonov An-26",1
"118","Aeroflot","Antonov AN-26",6
"119","Aeroflot","Antonov AN-30",1
"120","Aeroflot","Antonov AN-72",1
"121","Aeroflot","Antonov AN-8",1
"122","Aeroflot","Boeing B-737-505",1
"123","Aeroflot","Ilyushin 14",1
"124","Aeroflot","Ilyushin IL-12",1
"125","Aeroflot","Ilyushin Il-14",1
"126","Aeroflot","Ilyushin IL-14",2
"127","Aeroflot","Ilyushin IL-14P",1
"128","Aeroflot","Ilyushin IL-18",5
"129","Aeroflot","Ilyushin IL-18B",6
"130","Aeroflot","Ilyushin IL-18D",2
"131","Aeroflot","Ilyushin IL-18E",1
"132","Aeroflot","Ilyushin IL-18V",4
"133","Aeroflot","Ilyushin IL-62",1
"134","Aeroflot","Ilyushin IL-62M",3
"135","Aeroflot","Ilyushin IL-76MD",1
"136","Aeroflot","Ilyushin IL-76TD",1
"137","Aeroflot","LET  410M Turbojet",1
"138","Aeroflot","LET 410 M",1
"139","Aeroflot","Let 410M",1
"140","Aeroflot","LET 410M turbojet",1
"141","Aeroflot","LET 410MT Turbojet",1
"142","Aeroflot","Let 410MU",1
"143","Aeroflot","Let 410UVP",1
"144","Aeroflot","Let 410UVP Turolet",1
"145","Aeroflot","Lisunov Li-2",1
"146","Aeroflot","Mil Mi-8T",1
"147","Aeroflot","Tupelov Tu-124",1
"148","Aeroflot","Tupolev 134A",1
"149","Aeroflot","Tupolev TU-104",1
"150","Aeroflot","Tupolev TU-104-A",1
"151","Aeroflot","Tupolev Tu-104A",1
"152","Aeroflot","Tupolev TU-104A",6
"153","Aeroflot","Tupolev Tu-104B",1
"154","Aeroflot","Tupolev TU-104B",10
"155","Aeroflot","Tupolev TU-114B",1
"156","Aeroflot","Tupolev TU-124",9
"157","Aeroflot","Tupolev TU-134A",10
"158","Aeroflot","Tupolev TU-144",1
"159","Aeroflot","Tupolev TU-154",1
"160","Aeroflot","Tupolev TU-154A",1
"161","Aeroflot","Tupolev TU-154B",3
"162","Aeroflot","Tupolev TU-154B-1",1
"163","Aeroflot","Tupolev TU-154B-2",3
"164","Aeroflot","Tupolev TU 154B-2",1
"165","Aeroflot","Yakovlev 40",2
"166","Aeroflot","Yakovlev Yak-40",1
"167","Aeroflot","Yakovlev YAK-40",19
"168","Aeroflot","Yakovlev YAK-42",2
"169","Aeroflot / Aeroflot","Antonov AN-24 / Yakovlev Yak-40",1
"170","Aeroflot / Aeroflot","LeT 410UVP Turbojet / Tupolev TU-134V",1
"171","Aeroflot / Aeroflot","Tupolev TU-134A / Tupolev Tu-134A",1
"172","Aeroflot / Military - Russian Air Force","Antonov AN-24RV / Soviet Air Force TU-16",1
"173","Aeroflot / Soviet Air Force","Tupolev TU-134A / Antonov An-26",1
"174","Aeroflot /Military - Russian","Yakovlev YAK-40 / Mil Mi-8",1
"175","Aeroflot Russian International Airways","Airbus A310-304",1
"176","Aerogulf","Bell 212",1
"177","Aerolatino (Aerocaribe)","de Havilland Canada DHC-6 Twin Otter 300",1
"178","Aeroleasing - Air Taxi","Piper PA-31T",1
"179","Aeroleo Taxi Aereo","Bell 212",1
"180","Aerolift","Antonov 12V",1
"181","Aerolift","Ilyushin Il-76T",1
"182","Aerolift Philippines","Beechcraft 1900C-1",1
"183","Aerolineas Abaroa","Douglas C-47A",1
"184","Aerolineas Abaroa","Douglas DC-3",1
"185","Aerolineas Argentinas","Boeing B-747",1
"186","Aerolineas Argentinas","de Havilland Comet 4",1
"187","Aerolineas Argentinas","de Havilland DH-106 Comet 4",1
"188","Aerolineas Argentinas","Douglas DC-3",5
"189","Aerolineas Argentinas","Douglas DC-4",1
"190","Aerolineas Argentinas","Douglas DC-6",2
"191","Aerolineas Argentinas","Hawker Siddeley HS-748 1",1
"192","Aerolineas Argentinas","Short Sunderland",1
"193","Aerolineas Argo","Lockheed L-749A Constellation",1
"194","Aerolineas Centrales de Colombia","de Havilland Canada DHC-6 Twin Otter 300",1
"195","Aerolineas Centrales de Colombia","de Havilland Canada DHC-6 Twin Otter 310",1
"196","Aerolineas Condor","de Havilland Canada DHC-4A Caribou",1
"197","Aerolineas Cuahonte","Swearingen SA.226TC Metro II",1
"198","Aerolineas El Salvador","Curtiss C-46A",1
"199","Aerolineas Flecha Austral","Curtiss C-46D",2
"200","Aerolineas La Gaviola","Grumman G-21 Goose",1
"201","Aerolineas La Paz","Douglas DC-3(C-47A-DL)",1
"202","Aerolineas Litoral Argentina","Douglas DC-3",1
"203","Aerolineas Nacionales","Curtiss C-46",1
"204","Aerolineas TAO","Douglas C-47A",1
"205","Aerolineas TAO","Douglas C-47DL",1
"206","Aerolineas TAO","Vickers Viscount 785D",1
"207","Aeromexico","McDonnell Douglas DC-9-15",1
"208","Aeromexico","McDonnell Douglas DC-9-31",1
"209","Aeromexico","McDonnell Douglas DC-9-32",2
"210","Aeromexico / Private","MD Douglas DC-9-32 / Piper PA-28-181",1
"211","Aeromist-Kharkiv","Antonov AN-140",1
